Thread 1	444000	30713900
Thread 2	430200	59922200
Thread 3	292000	98060600
Thread 4	366400	110210400
Thread 2	424600	31608500
Thread 3	365700	58009700
Thread 1	454400	91738700
Thread 4	315400	103820300
Thread 3	593500	42560200
Thread 4	307500	87018600
Thread 1	617200	99168900
Thread 2	521200	102457600
Thread 1	518000	32575400
Thread 4	501500	62252300
Thread 3	449000	101296800
Thread 2	380400	112997600
Thread 1	471500	31386600
Thread 2	440700	57520900
Thread 3	362400	92860700
Thread 4	337700	103635500
Thread 2	466800	47469400
Thread 4	354800	94888200
Thread 3	401000	97970600
Thread 1	503700	106235100
Thread 1	631200	30283600
Thread 3	584500	58773200
Thread 2	515700	88834600
Thread 4	423400	103917800
Thread 1	424900	31141100
Thread 2	384600	60007700
Thread 3	300700	96336800
Thread 4	281000	107369300
Thread 2	499200	29622200
Thread 3	487000	57217100
Thread 1	408200	92640200
Thread 4	497100	102641200
Thread 1	404100	35168300
Thread 4	223000	84280900
Thread 3	353400	107261700
Thread 2	251200	116534500
Thread 1	421400	31959900
Thread 2	410800	58069300
Thread 4	338900	96760900
Thread 3	324300	107286000
Thread 1	459000	30401300
Thread 3	364000	58302700
Thread 4	319900	91818400
Thread 2	401400	124530400
Thread 1	463900	31601500
Thread 2	434100	59348400
Thread 4	278100	95354000
Thread 3	323000	105130000
Thread 1	493000	30849000
Thread 2	469400	58075400
Thread 4	386500	97705800
Thread 3	342400	108637100
Thread 1	405600	31271100
Thread 3	296800	56975400
Thread 4	234700	91800800
Thread 2	370600	102082800
Thread 1	556600	33565400
Thread 2	542000	61730500
Thread 4	424200	100563900
Thread 3	465500	111183700
Thread 1	474400	35754100
Thread 4	298500	64614100
Thread 2	415400	95009200
Thread 3	336500	118061600
Thread 1	425800	30455500
Thread 3	306600	56938100
Thread 2	388300	91647000
Thread 4	247400	101585200
Thread 1	426500	32896100
Thread 2	388000	61445500
Thread 3	310100	106650100
Thread 4	267200	113780700
Thread 1	462100	34651600
Thread 4	421700	62318100
Thread 3	329400	100504900
Thread 2	418300	112881600
Thread 1	458800	31141700
Thread 3	376500	60656000
Thread 4	343100	98961500
Thread 2	433700	110482600
Thread 1	419500	29146300
Thread 2	387800	54777500
Thread 4	250000	89644100
Thread 3	294600	99688600
Thread 1	494100	32319700
Thread 3	407100	66660600
Thread 2	485900	94579800
Thread 4	331100	112468900
Thread 1	462300	31224900
Thread 2	451100	56795500
Thread 3	375900	90733300
Thread 4	358600	101708100
Thread 1	421500	32117500
Thread 3	353000	58407800
Thread 4	285600	98689400
Thread 2	373400	110360000
Thread 1	424900	30476300
Thread 4	265000	91525900
Thread 3	322400	93749100
Thread 2	395000	101883700
Thread 1	446600	30923000
Thread 4	286600	57247200
Thread 3	326100	91748800
Thread 2	416600	101869600
Thread 1	469500	30323400
Thread 2	449700	57172800
Thread 4	335800	91243400
Thread 3	389300	101329200
Thread 4	354600	29972800
Thread 2	484700	57265800
Thread 1	491900	92520000
Thread 3	414100	103190700
Thread 3	397100	29321900
Thread 2	359200	58478100
Thread 1	445100	95954900
Thread 4	290200	111300700
Thread 2	449900	31846400
Thread 3	377700	70885300
Thread 1	491000	92140000
Thread 4	342300	99932300
Thread 2	408000	49384300
Thread 3	362100	90520300
Thread 1	452300	98492200
Thread 4	321900	105520700
Thread 1	397000	32679000
Thread 3	374400	61548600
Thread 4	270700	101004900
Thread 2	315400	112286700
Thread 1	456300	30657100
Thread 2	451000	57782300
Thread 4	343100	91670600
Thread 3	399500	101127500
Thread 4	285100	32517000
Thread 3	407000	57339200
Thread 1	398700	94623200
Thread 2	326500	106754100
Thread 1	522500	32605400
Thread 4	377700	59800400
Thread 3	424300	93817200
Thread 2	518100	103976400
Thread 3	517300	35688700
Thread 1	339600	64901500
Thread 4	423800	114668800
Thread 2	566600	115363400
Thread 1	396100	31113100
Thread 2	380200	56333900
Thread 4	314900	96370100
Thread 3	263600	101914200
Thread 1	483600	49125600
Thread 4	331800	89558200
Thread 3	365900	97921700
Thread 2	411300	103890900
Thread 1	548400	34748700
Thread 3	456000	65289500
Thread 4	414600	108599300
Thread 2	521400	121190000
Thread 2	497500	37858800
Thread 3	438200	65261900
Thread 4	348800	96993800
Thread 1	495600	113533900
Thread 2	457900	58161800
Thread 4	300300	99879200
Thread 3	355500	108265000
Thread 1	485700	112622400
Thread 2	404300	32468700
Thread 3	324600	59999100
Thread 1	439500	90197000
Thread 4	280200	103265300
Thread 2	345200	53441700
Thread 3	273600	99198100
Thread 4	234900	105576000
Thread 1	404200	110621500
Thread 3	290900	36347800
Thread 4	372900	58300200
Thread 2	208000	93291200
Thread 1	420100	103160600
Thread 2	435500	63052800
Thread 4	285700	105653900
Thread 3	370600	112671100
Thread 1	473200	116630400
Thread 1	400800	31170700
Thread 3	386500	56964800
Thread 2	328600	98178400
Thread 4	274700	101481300
Thread 1	539300	32510400
Thread 4	369800	84071600
Thread 3	427600	98409100
Thread 2	469300	120588700
Thread 1	543200	29987200
Thread 3	322300	60712200
Thread 2	392500	86855900
Thread 4	252600	100704300
Thread 1	590900	36207400
Thread 4	486100	67403600
Thread 2	563800	109570700
Thread 3	521900	123293700
Thread 1	425400	31211900
Thread 2	411900	59838800
Thread 4	279800	98125100
Thread 3	320800	109945300
Thread 1	472400	31427300
Thread 3	361800	58753100
Thread 2	421400	95534300
Thread 4	319200	111311900
Thread 4	378500	39674600
Thread 2	489000	66269300
Thread 3	436400	96837400
Thread 1	509600	107716900
Thread 2	409200	37229300
Thread 3	354800	77327100
Thread 1	431900	94735700
